"Timestamp","Are you familiar with software engineering?","Are you familiar with ontology engineering?","How many ontologies have you built?","I found OnToology useful for supporting ontology engineering tasks","I found OnToology useful for supporting collaborative engineering tasks","OnToology saves me time when I want to create the documentation of an ontology","OnToology  saves me time when I want to evaluate an ontology","OnToology  saves me time when I want to publish an ontology","OnToology  saves me time when I want to visualize an ontology","OnToology  is easy to use","I can use OnToology  without written instructions","I can recover from mistakes quickly and easily","I can use OnToology  successfully","I learned to use OnToology  quickly","I am satisfied with OnToology's visualizations","I am satisfied with OnToology's evaluation","I am satisfied with the documentation generated by OnToology","I am satisfied with the way OnToology published my ontology","I would recommend OnToology  to a colleague","Have you tried other similar software? In that case, which one and what do you think about it compared to OnToology?","List the most negative aspect(s)  about OnToology:","List the most positive aspect(s) about OnToology:","Optional comments","About you"
"2017/10/21 12:03:15 PM GMT+3","Yes, I work on software engineering","I know it but I do not consider myself an expert","Less than 5","4","4","4","3","5","4","4","3","4","4","4","3","4","4","4","5","Parrot for documentation","Little documentation","Easy to use, utility","Have you considered including RDF validation like ShEx or SHACL?","Francisco Hidalgo - fhidalgl@gmail.com"
"2017/10/24 2:39:55 PM GMT+3","Yes, I work on software engineering","Yes, I work on ontology engineering","Too many","2","2","2","2","1","2","1","3","1","1","2","1","1","1","1","1","I've tried a handful of these over the years, and have forgotten their names, since none of them ever provided the sort of experience I needed","I really want to like Ontoology - in fact, I think I'd like to revisit it.  When we tried it a year or two ago, it wasn't able to manage the scope of the ontology we had already built (FIBO).  I wonder if its performance is better now.  We still need what it offers (it came up in a discussion just yesterday, but none of us could remember its name.  It was very timely that you sent me this.  Were you listening to our meeting?)","It's potential. It offers a lot of things we need.  I wish we could get it to deliver. ","Let's get back together - see if you can get something working for us.   Our ontology (and supporting governance system) is a lot more mature now, and I bet Ontoology has grown a lot as well.  Let's talk. ","dallemang@workingontologist.com"
"2017/11/02 1:39:00 PM GMT+3","Yes, I work on software engineering","Yes, I work on ontology engineering","Less than 10","5","5","5","5","5","3","3","1","2","2","1","2","4","4","4","3","","low-res png files for big ontologies","automatization of boring tasks","","mariano.rico@upm.es"
"2017/11/02 1:58:04 PM GMT+3","I know it but I do not consider myself an expert","I know it but I do not consider myself an expert","Less than 5","4","3","4","3","2","4","3","2","3","4","4","4","4","3","3","5","","Minor visual things (I'll send screenshots)","It's fast, useful and without errors","I deleted the repo but Ontoology didn't notice (but doesn't allow me anymore to stop watching it...)",""
"2017/11/02 2:13:51 PM GMT+3","I know it but I do not consider myself an expert","I know it but I do not consider myself an expert","Less than 10","3","4","5","5","5","3","3","2","2","4","5","4","5","5","4","5","No","Step by Step page is confused. 
I have a syntax error in the ontology and it only was notified in the progress tab, not in ""my repositories"".
Some empty alerts in JS appear.
It is a little bit difficult to understand what are the behaviour of the different services in the ""my repositories"" tab without help.
The workflow of the tool after the upload is confused.","The integration of the services.
The tool is very quickly.","",""
"2017/11/02 2:45:44 PM GMT+3","Yes, I work on software engineering","I know it but I do not consider myself an expert","Less than 5","5","4","5","5","4","5","3","2","4","5","3","4","5","5","4","","No","The transition web page when you have finished to enter your repository is a bit unnecessary. Just two buttons and one is to come back to the main page. Maybe with an example of the next step (yes, I know, again) could add a better linked and guided vision. 



Stupid things:
In the main web page, the first box in blue maybe is too strong. The step by step page is up-to-date with the how to use it section in the main page? I like the page ""About"" with pointers to the original tools. But I would suggest to have the idea of each tool in three simple images in the main page. To have the a first impression of what Im going to do: As simple as ""Evaluate"", ""Generate documentation"", ... 

The button to delete a repo maybe its too big","The merge is not intrusive in your repo and very well structured. The evaluation report is very well presented. The diagrams are very usefull to future works or just to give an idea of the Ontology. Also, is very helpfull with the documentation creation process","",""
"2017/11/03 11:14:32 AM GMT+3","Yes, I work on software engineering","Yes, I work on ontology engineering","Too many","4","2","4","3","5","3","4","3","3","4","3","3","3","4","4","4","","","","",""
"2017/11/03 2:42:43 PM GMT+3","I know it but I do not consider myself an expert","Yes, I work on ontology engineering","Less than 5","5","5","4","4","4","4","4","1","3","4","3","3","4","4","4","5","no","diagrams should use  ""label"" instead of ""class"". In biological and biomedical ontologies a good practice is to use identifiers to call classes and properties, eg. class name:OBI_0001879, label:reagent. ","saves time in the documentation. You do not have an expert in html to include information, the templates are easy to use.","","Olga Giraldo, ogiraldo@fi.upm.es"
"2017/11/03 3:59:29 PM GMT+3","I know it but I do not consider myself an expert","I know it but I do not consider myself an expert","Less than 5","5","4","5","5","5","5","4","3","4","4","3","4","4","3","4","5","No, I haven't","","","",""
"2017/11/03 6:39:42 PM GMT+3","Yes, I work on software engineering","I know it but I do not consider myself an expert","Less than 5","4","3","4","4","4","5","4","3","4","5","4","5","4","4","4","5","No","The ""publish ontology"" feature is quite hidden, I almost didn't find how to make it","just few clicks necessary","","fpriyatna@fi.upm.es"
